GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B25077_001,197900,8280
01003,"Baldwin County, Alabama",B25077_001,287000,6910
01005,"Barbour County, Alabama",B25077_001,109900,11374
01007,"Bibb County, Alabama",B25077_001,132600,18638
01009,"Blount County, Alabama",B25077_001,169700,5354
01011,"Bullock County, Alabama",B25077_001,79400,15850
01013,"Butler County, Alabama",B25077_001,99700,8484
01015,"Calhoun County, Alabama",B25077_001,149500,6196
01017,"Chambers County, Alabama",B25077_001,129700,12036
01019,"Cherokee County, Alabama",B25077_001,165900,9786
01021,"Chilton County, Alabama",B25077_001,142300,15402
01023,"Choctaw County, Alabama",B25077_001,111800,22042
01025,"Clarke County, Alabama",B25077_001,126400,14098
01027,"Clay County, Alabama",B25077_001,144700,19985
01029,"Cleburne County, Alabama",B25077_001,144200,13298
01031,"Coffee County, Alabama",B25077_001,180300,7387
01033,"Colbert County, Alabama",B25077_001,161600,8121
01035,"Conecuh County, Alabama",B25077_001,101300,9315
01037,"Coosa County, Alabama",B25077_001,111800,14340
01039,"Covington County, Alabama",B25077_001,142500,12814
01041,"Crenshaw County, Alabama",B25077_001,108400,11542
01043,"Cullman County, Alabama",B25077_001,180500,8186
01045,"Dale County, Alabama",B25077_001,129100,9727
01047,"Dallas County, Alabama",B25077_001,97400,8859
01049,"DeKalb County, Alabama",B25077_001,135500,14323
01051,"Elmore County, Alabama",B25077_001,213600,7440
01053,"Escambia County, Alabama",B25077_001,122700,9203
01055,"Etowah County, Alabama",B25077_001,160600,4895
01057,"Fayette County, Alabama",B25077_001,121200,9871
01059,"Franklin County, Alabama",B25077_001,128000,10726
01061,"Geneva County, Alabama",B25077_001,120200,10010
01063,"Greene County, Alabama",B25077_001,86400,16395
01065,"Hale County, Alabama",B25077_001,126300,23118
01067,"Henry County, Alabama",B25077_001,147800,13014
01069,"Houston County, Alabama",B25077_001,178000,3876
01071,"Jackson County, Alabama",B25077_001,145800,11390
01073,"Jefferson County, Alabama",B25077_001,224900,4360
01075,"Lamar County, Alabama",B25077_001,112700,7300
01077,"Lauderdale County, Alabama",B25077_001,185800,7580
01079,"Lawrence County, Alabama",B25077_001,150700,15108
01081,"Lee County, Alabama",B25077_001,238700,7650
01083,"Limestone County, Alabama",B25077_001,255100,10479
01085,"Lowndes County, Alabama",B25077_001,80600,9262
01087,"Macon County, Alabama",B25077_001,95700,5412
01089,"Madison County, Alabama",B25077_001,267800,5182
01091,"Marengo County, Alabama",B25077_001,103400,13105
01093,"Marion County, Alabama",B25077_001,104300,8311
01095,"Marshall County, Alabama",B25077_001,183400,6678
01097,"Mobile County, Alabama",B25077_001,176600,3645
01099,"Monroe County, Alabama",B25077_001,114900,8955
01101,"Montgomery County, Alabama",B25077_001,160100,4305
01103,"Morgan County, Alabama",B25077_001,193000,6229
01105,"Perry County, Alabama",B25077_001,87700,14653
01107,"Pickens County, Alabama",B25077_001,123300,9032
01109,"Pike County, Alabama",B25077_001,149000,11162
01111,"Randolph County, Alabama",B25077_001,184000,12971
01113,"Russell County, Alabama",B25077_001,152300,8353
01115,"St. Clair County, Alabama",B25077_001,218500,5740
01117,"Shelby County, Alabama",B25077_001,298700,4786
01119,"Sumter County, Alabama",B25077_001,84100,7038
01121,"Talladega County, Alabama",B25077_001,137900,9063
01123,"Tallapoosa County, Alabama",B25077_001,144800,14173
01125,"Tuscaloosa County, Alabama",B25077_001,233700,4777
01127,"Walker County, Alabama",B25077_001,131100,10803
01129,"Washington County, Alabama",B25077_001,152800,16982
01131,"Wilcox County, Alabama",B25077_001,84200,14312
01133,"Winston County, Alabama",B25077_001,110500,13397
02013,"Aleutians East Borough, Alaska",B25077_001,144300,30459
02016,"Aleutians West Census Area, Alaska",B25077_001,419100,20979
02020,"Anchorage Municipality, Alaska",B25077_001,375900,5631
02050,"Bethel Census Area, Alaska",B25077_001,120600,20908
02060,"Bristol Bay Borough, Alaska",B25077_001,269800,28260
02063,"Chugach Census Area, Alaska",B25077_001,330900,25644
02066,"Copper River Census Area, Alaska",B25077_001,246700,27083
02068,"Denali Borough, Alaska",B25077_001,262000,36689
02070,"Dillingham Census Area, Alaska",B25077_001,163800,52290
02090,"Fairbanks North Star Borough, Alaska",B25077_001,282500,8291
02100,"Haines Borough, Alaska",B25077_001,318900,42900
02105,"Hoonah-Angoon Census Area, Alaska",B25077_001,278300,34663
02110,"Juneau City and Borough, Alaska",B25077_001,432500,16766
02122,"Kenai Peninsula Borough, Alaska",B25077_001,297500,8572
02130,"Ketchikan Gateway Borough, Alaska",B25077_001,379000,18695
02150,"Kodiak Island Borough, Alaska",B25077_001,382700,40651
02158,"Kusilvak Census Area, Alaska",B25077_001,72700,22809
02164,"Lake and Peninsula Borough, Alaska",B25077_001,166100,41564
02170,"Matanuska-Susitna Borough, Alaska",B25077_001,319200,5903
02180,"Nome Census Area, Alaska",B25077_001,201000,31713
02185,"North Slope Borough, Alaska",B25077_001,219600,21400
02188,"Northwest Arctic Borough, Alaska",B25077_001,162500,21702
02195,"Petersburg Borough, Alaska",B25077_001,301300,24757
02198,"Prince of Wales-Hyder Census Area, Alaska",B25077_001,221800,20960
02220,"Sitka City and Borough, Alaska",B25077_001,442100,16403
02230,"Skagway Municipality, Alaska",B25077_001,430000,19923
02240,"Southeast Fairbanks Census Area, Alaska",B25077_001,262800,16249
02275,"Wrangell City and Borough, Alaska",B25077_001,289700,31590
02282,"Yakutat City and Borough, Alaska",B25077_001,185000,83764
02290,"Yukon-Koyukuk Census Area, Alaska",B25077_001,87800,12087
04001,"Apache County, Arizona",B25077_001,68500,5629
04003,"Cochise County, Arizona",B25077_001,207400,5633
04005,"Coconino County, Arizona",B25077_001,413200,16076
04007,"Gila County, Arizona",B25077_001,247000,13464
04009,"Graham County, Arizona",B25077_001,202700,11717
04011,"Greenlee County, Arizona",B25077_001,136300,37471
04012,"La Paz County, Arizona",B25077_001,117600,8607
04013,"Maricopa County, Arizona",B25077_001,414700,1777
04015,"Mohave County, Arizona",B25077_001,253200,7812
04017,"Navajo County, Arizona",B25077_001,186100,13774
04019,"Pima County, Arizona",B25077_001,286900,2794
04021,"Pinal County, Arizona",B25077_001,312100,4876
04023,"Santa Cruz County, Arizona",B25077_001,216100,7763
04025,"Yavapai County, Arizona",B25077_001,392900,7576
04027,"Yuma County, Arizona",B25077_001,195700,4050
05001,"Arkansas County, Arkansas",B25077_001,129400,13132
05003,"Ashley County, Arkansas",B25077_001,88800,4811
05005,"Baxter County, Arkansas",B25077_001,165400,7993
05007,"Benton County, Arkansas",B25077_001,285100,5865
05009,"Boone County, Arkansas",B25077_001,169300,7142
05011,"Bradley County, Arkansas",B25077_001,97000,19525
05013,"Calhoun County, Arkansas",B25077_001,97300,11045
05015,"Carroll County, Arkansas",B25077_001,186300,10966
05017,"Chicot County, Arkansas",B25077_001,90500,9520
05019,"Clark County, Arkansas",B25077_001,147100,12184
05021,"Clay County, Arkansas",B25077_001,88100,5996
05023,"Cleburne County, Arkansas",B25077_001,174600,11335
05025,"Cleveland County, Arkansas",B25077_001,123400,12366
05027,"Columbia County, Arkansas",B25077_001,141700,20316
05029,"Conway County, Arkansas",B25077_001,137000,20724
05031,"Craighead County, Arkansas",B25077_001,198700,7247
05033,"Crawford County, Arkansas",B25077_001,170000,8047
05035,"Crittenden County, Arkansas",B25077_001,155100,5964
05037,"Cross County, Arkansas",B25077_001,104000,14276
05039,"Dallas County, Arkansas",B25077_001,98200,10017
05041,"Desha County, Arkansas",B25077_001,89100,12335
05043,"Drew County, Arkansas",B25077_001,127800,16594
05045,"Faulkner County, Arkansas",B25077_001,211300,6341
05047,"Franklin County, Arkansas",B25077_001,118800,8073
05049,"Fulton County, Arkansas",B25077_001,107200,10010
05051,"Garland County, Arkansas",B25077_001,176400,7178
05053,"Grant County, Arkansas",B25077_001,154500,16128
05055,"Greene County, Arkansas",B25077_001,162200,7508
05057,"Hempstead County, Arkansas",B25077_001,100200,8395
05059,"Hot Spring County, Arkansas",B25077_001,127900,13925
05061,"Howard County, Arkansas",B25077_001,135400,13936
05063,"Independence County, Arkansas",B25077_001,120500,7841
05065,"Izard County, Arkansas",B25077_001,122100,10295
05067,"Jackson County, Arkansas",B25077_001,87300,5496
05069,"Jefferson County, Arkansas",B25077_001,106000,7183
05071,"Johnson County, Arkansas",B25077_001,124800,10978
05073,"Lafayette County, Arkansas",B25077_001,74600,8427
05075,"Lawrence County, Arkansas",B25077_001,91100,6431
05077,"Lee County, Arkansas",B25077_001,77900,8302
05079,"Lincoln County, Arkansas",B25077_001,106100,14026
05081,"Little River County, Arkansas",B25077_001,113400,10590
05083,"Logan County, Arkansas",B25077_001,126900,10193
05085,"Lonoke County, Arkansas",B25077_001,184100,6007
05087,"Madison County, Arkansas",B25077_001,157800,22721
05089,"Marion County, Arkansas",B25077_001,158400,6852
05091,"Miller County, Arkansas",B25077_001,148200,14108
05093,"Mississippi County, Arkansas",B25077_001,115800,7314
05095,"Monroe County, Arkansas",B25077_001,82200,4351
05097,"Montgomery County, Arkansas",B25077_001,136000,32840
05099,"Nevada County, Arkansas",B25077_001,85700,7775
05101,"Newton County, Arkansas",B25077_001,178800,19775
05103,"Ouachita County, Arkansas",B25077_001,99600,14566
05105,"Perry County, Arkansas",B25077_001,129300,10881
05107,"Phillips County, Arkansas",B25077_001,76200,12383
05109,"Pike County, Arkansas",B25077_001,115400,8460
05111,"Poinsett County, Arkansas",B25077_001,101200,6285
05113,"Polk County, Arkansas",B25077_001,122600,7486
05115,"Pope County, Arkansas",B25077_001,161700,6852
05117,"Prairie County, Arkansas",B25077_001,87500,10501
05119,"Pulaski County, Arkansas",B25077_001,199600,4612
05121,"Randolph County, Arkansas",B25077_001,118100,9259
05123,"St. Francis County, Arkansas",B25077_001,87700,5872
05125,"Saline County, Arkansas",B25077_001,211700,5935
05127,"Scott County, Arkansas",B25077_001,110900,10838
05129,"Searcy County, Arkansas",B25077_001,108100,13734
05131,"Sebastian County, Arkansas",B25077_001,166000,5966
05133,"Sevier County, Arkansas",B25077_001,111700,9837
05135,"Sharp County, Arkansas",B25077_001,94600,8082
05137,"Stone County, Arkansas",B25077_001,149400,26132
05139,"Union County, Arkansas",B25077_001,114700,6546
05141,"Van Buren County, Arkansas",B25077_001,122300,10187
05143,"Washington County, Arkansas",B25077_001,266000,6183
05145,"White County, Arkansas",B25077_001,159600,5489
05147,"Woodruff County, Arkansas",B25077_001,96800,11354
05149,"Yell County, Arkansas",B25077_001,131300,10062
06001,"Alameda County, California",B25077_001,1057400,6624
06003,"Alpine County, California",B25077_001,466100,52099
06005,"Amador County, California",B25077_001,422800,15875
06007,"Butte County, California",B25077_001,408700,8846
06009,"Calaveras County, California",B25077_001,441800,13276
06011,"Colusa County, California",B25077_001,375100,25614
06013,"Contra Costa County, California",B25077_001,830800,7330
06015,"Del Norte County, California",B25077_001,319600,19952
06017,"El Dorado County, California",B25077_001,640500,9701
06019,"Fresno County, California",B25077_001,362600,3100
06021,"Glenn County, California",B25077_001,338400,12427
06023,"Humboldt County, California",B25077_001,418800,8666
06025,"Imperial County, California",B25077_001,279500,8144
06027,"Inyo County, California",B25077_001,338400,33507
06029,"Kern County, California",B25077_001,310600,3299
06031,"Kings County, California",B25077_001,305700,8567
06033,"Lake County, California",B25077_001,316800,14527
06035,"Lassen County, California",B25077_001,259500,11968
06037,"Los Angeles County, California",B25077_001,783300,2622
06039,"Madera County, California",B25077_001,367700,7576
